"recno","Timestamp","Observer","Location","Desg","Date","m1","diam","dc","pa","scope","comments","url"
"618","2003-02-05 00:00:00","P. Clay Sherrod","ASO - Conway","100P Hartley","2003/02/05","~18.9","<9""","9/9","none","0.41m SCT/ccd....","A very difficult and tiny object, with 3 m1 est. between 19.2 and 18.6, totally stellar with no nebulosity",""
"620","2003-02-05 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 X1 (LINEAR)","2003/02/05","16.5","14""","7/9","none","0.41m SCT/ccd....","Very well defined small elongation to coma on five ccd images over time; no nebulosity to speak of and comet is becoming quite faint but maintaining fair size in relation to mag.1",""
"621","2003-02-05 00:00:00","P. Clay Sherrod","ASO - Conway","67P Churyumov-Gerasimenko","2003/02/05","15.8","17""","4/9","none","0.41m SCT/ccd....","Faint and nebulous open coma with small m2",""
"622","2003-02-05 00:00:00","P. Clay Sherrod","ASO - Conway","155P Shoemaker 3","2003/02/05","14.8","21""","6/9","n/a","0.41m SCT/ccd....","Comet appears visibly fainter but not smaller than previous; some concentration and perhaps irregularity to coma perimeter",""
"625","2003-02-05 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 T7 (LINEAR)","2003/02/05","15.9","12""","8/9","none","0.41m SCT/ccd....","Some diffusity to object, with tight concentration in small coma; brightness steady",""
"626","2003-02-05 00:00:00","P. Clay Sherrod","ASO - Conway","81P Wild 2","2003/02/05","15.8","15""","4/9","95","0.41m SCT/ccd....","Comet has faded significantly size last observation, not easy with fairly large veiled coma and extended perimeter centered at PA 95 deg.  Slight central conds.",""
"627","2003-02-08 00:00:00","P. Clay Sherrod","ASO - Conway","155P Shoemaker 3","2003/02/08","15.6","16""","6/9","","0.41m SCT/ccd....","Comet appears considerably fainter and more compact than previously, even under very good conditions; three measurements, all ~15.5 m1; no tail, strong condensation",""
"629","2003-02-08 00:00:00","P. Clay Sherrod","ASO - Conway","C/2001 B2 (NEAT)","2003/02/08","18.1","16""","2/9","none","0.41m SCT/ccd....","An incredibly interesting sight; the coma is like a transparent veil with no condensation whatsoever; extremely easy to miss, but similarly recorded on three astrometric images",""
"630","2003-02-08 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 T7 (LINEAR)","2003/02/08","16.0","13""","7/9","none","0.41m SCT/ccd....","Comet virtually unchanged; clearly nebulous around perimeter and possibly elongated slightly to E of center",""
"631","2003-02-08 00:00:00","P. Clay Sherrod","ASO - Conway","67P Churyumov-Gerasimenko","2003/02/08","15.8","22""","3/9","275?","0.41m SCT/ccd....","Coma is clearly elongated in a near E-W orientation, major axis meauring 22"" across; very little condensation.",""
"633","2003-02-08 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 X1 (LINEAR)","2003/02/08","15.9 (*)","16""","7/9","none","0.41m SCT/ccd....","Comet perhaps oval-shaped in NE-SW direction; very open and diffuse with near stellar (*m2=16.9ccd) nucleus",""
"636","2003-02-08 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 O7 (LINEAR)","2003/02/08","16.7","15""","3/9","none","0.41m SCT/ccd....","Comet is becoming an easy object, with no tail, round coma and very little central brightening",""
"637","2003-02-08 00:00:00","P. Clay Sherrod","ASO - Conway","C/2000 SV74 (LINEAR)","2003/02/08","14.7 (*)","12""","6/9","","0.41m SCT/ccd....","Comet is becoming an interesting and fairly easy target; strong central condensation (*m2=16.7ccd) embedded centrally in a very evenly distributed round coma",""
"638","2003-02-11 00:00:00","P. Clay Sherrod","ASO - Conway","C/2000 SV74 (LINEAR)","2003/02/11","15.4","14""","3/9","","0.41m SCT/ccd....","Very compact, with faint evenly-illuminated coma",""
"639","2003-02-11 00:00:00","P. Clay Sherrod","ASO - Conway","C/2001 G1 (LONEOS)","2003/02/11","15.7","11""","4/9","","0.41m SCT/ccd....","Compact with very little central conds.; becoming brighter",""
"640","2003-02-11 00:00:00","P. Clay Sherrod","ASO - Conway","53P Van Biesbroeck","2003/02/11","18.5","<12""","7/9","none","0.41m SCT/ccd....","Very tiny and difficult; near threshold; confirmed astrometrically in very deep skies",""
"643","2003-02-11 00:00:00","P. Clay Sherrod","ASO - Conway","67P Churyumov-Gerasimenko","2003/02/11","14.9","21"" irreg.","7/9","n/a","0.41m SCT/ccd....","An incredibly interesting sight, with the coma seemingly with a very irregular perimeter and even some streaming in random direction; not scatter nor noise; very condensed with stellar nucleus",""
"644","2003-02-11 00:00:00","P. Clay Sherrod","ASO - Conway","30P Reinmuth 1","2003/02/11","14.8","18""","6/9","n/a","0.41m SCT/ccd....","Maintaining status quo; very large and open with some degree of central brightening",""
"645","2003-02-11 00:00:00","P. Clay Sherrod","ASO - Conway","C/1999 U4 - Catalina-Skiff","2003/02/11","18.1","11""","8/9","none","0.41m SCT/ccd....","Tiny and quite difficult in star-poor region; confirmed astrometrically",""
"647","2003-02-11 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 X1 (LINEAR)","2003/02/11","16.6","12""","7/9","elong. ~95","0.41m SCT/ccd....","Some elongation to coma nearly due east, slightly south; very faint with some brightening in center",""
"648","2003-02-11 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 A3 (LINEAR)","2003/02/11","<19.7 stella","n/a","n/a","n/a","0.41m SCT/ccd....","Stellar threshold on three images to 19.8ccd; nothing seen at calculated position",""
"650","2003-02-12 00:00:00","P. Clay Sherrod","ASO - Conway","81P Wild 2","2003/02/12","15.4","16""","3/9","~90","0.41m SCT/ccd....","Some possible extension of an irregular coma in PA 90 deg; comet appears ""ragged"" along perimeter; strong moonlight nearby",""
"652","2003-02-12 00:00:00","P. Clay Sherrod","ASO - Conway","100P Hartley","2003/02/12","18.2","<10""","8/9","none","0.41m SCT/ccd....","Tiny with no nebulosity seen in very good dark skies; two astrometric confirmations",""
"653","2003-02-12 00:00:00","P. Clay Sherrod","ASO - Conway","C/2000 SV74 (LINEAR)","2003/02/12","15.8 (*)","14""","3/9","282","0.41m SCT/ccd....","Tail most definite in pa 282, short; *m2=16.8ccd.",""
"655","2003-02-12 00:00:00","P. Clay Sherrod","ASO - Conway","C/1999 U4 - Catalina-Skiff","2003/02/12","17.9","11""","3/9","none","0.41m SCT/ccd....","Comet is surprisingly large and very diffuse, making it a very difficult target, very open",""
"656","2003-02-12 00:00:00","P. Clay Sherrod","ASO - Conway","67P Churyumov-Gerasimenko","2003/02/12","15.6","12""","3/9","none","0.41m SCT/ccd....","Comet is small and faint, appears to be rapidly fading and/or getting smaller",""
"657","2003-02-12 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 X1 (LINEAR)","2003/02/12","16.9","12""","6/9","none","0.41m SCT/ccd....","Very faint and difficult with moonlight filling sky; comet does appear to exhibit elongated coma however in SE direction from astrometric center",""
"658","2003-02-13 00:00:00","P. Clay Sherrod","ASO - Conway","C/2000 SV74 (LINEAR)","2003/02/13","16.0","14""","3/9","none","0.41m SCT/ccd....","Comet is difficult and small in hazy moonlit skies",""
"660","2003-02-13 00:00:00","P. Clay Sherrod","ASO - Conway","67P Churyumov-Gerasimenko","2003/02/13","15.8","15""","4/9","none","0.41m SCT/ccd....","Comet is faint and small in moonlit and hazy skies",""
"663","2003-02-13 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 X1 (LINEAR)","2003/02/13","16.2","11""","7/9","n/a","0.41m SCT/ccd....","Comet appears brighter tonight in spite of close moonlight which may have affected m1 estimates.",""
"664","2003-02-13 00:00:00","P. Clay Sherrod","ASO - Conway","155P Shoemaker 3","2003/02/13","14.9","19"" moon","5/9","unknown","0.41m SCT/ccd....","Moonlight hampers accurate m1 and size estimates",""
"665","2003-02-13 00:00:00","P. Clay Sherrod","ASO - Conway","81P Wild 2","2003/02/13","15.0","15""","3/9","95?","0.41m SCT/ccd....","Possible due east elongation from coma; comet is very difficult in bright moonlit skies and high clouds",""
"668","2003-02-18 00:00:00","P. Clay Sherrod","ASO - Conway","81P Wild 2","2003/02/18","15.4 (*)","18""","4/9","none","0.41m SCT/ccd....","Comet is very difficult due to rising full moon in east; *m2=16.0ccd; coma is large, extended with some minor central condensation; uniformly round",""
"669","2003-02-18 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 X1 (LINEAR)","2003/02/18","16.2","15""","4/9","none","0.41m SCT/ccd....","Comet is round, quite faint and very close to near-full moon.",""
"670","2003-02-18 00:00:00","P. Clay Sherrod","ASO - Conway","155P Shoemaker 3","2003/02/18","~15.1 moon","14"" moon","6/9","n/a","0.41m SCT/ccd....","Very strong moonlight interferes; m2 = 16.5ccd and comet seems pretty much unchanged from previous (2-13) observation in spite of moonlight",""
"671","2003-02-24 00:00:00","P. Clay Sherrod","ASO - Conway","155P Shoemaker 3","2003/02/24","14.8","14""","5/9","none","0.41m SCT/ccd....","Very poor conditions but comet appears to have brightened slightly within past week; open with nebulosity, but distinct core",""
"672","2003-02-23 00:00:00","P. Clay Sherrod","ASO - Conway","155P Shoemaker 3","2003/02/23","14.8","14""","5/9","none","0.41m SCT/ccd....","Very poor conditions but comet appears to have brightened slightly within past week; open with nebulosity, but distinct core",""
"673","2003-02-23 00:00:00","P. Clay Sherrod","ASO - Conway","67P Churyumov-Gerasimenko","2003/02/23","15.4","22""","3/9","none","0.41m SCT/ccd....","Noted in very poor conditions, but comet is very large, round and diffuse",""
"675","2003-02-23 00:00:00","P. Clay Sherrod","ASO - Conway","C/2002 X1 (LINEAR)","2003/02/23","16.5","14""","7/9","none","0.41m SCT/ccd....","Oval shape, some nebulosity but otherwise small and becoming quite difficult",""
"677","2003-02-24 00:00:00","P. Clay Sherrod","ASO - Conway","67P Churyumov-Gerasimenko","2003/02/24","15.6","14""","7/9","none","0.41m SCT/ccd....","Very highly condensed with nearly stellar nucleus of about mag. 16.1 ccd; otherwise small and quite regularly round",""
"678","2003-02-24 00:00:00","P. Clay Sherrod","ASO - Conway","155P Shoemaker 3","2003/02/24","15.8","16""","4/9","none","0.41m SCT/ccd....","Fairly faint and observed with intermittent clouds; uniformlyl nebulous and even perimeter",""
"679","2003-02-24 00:00:00","P. Clay Sherrod","ASO - Conway","53P Van Biesbroeck","2003/02/24","15.6","12""","4/9","none","0.41m SCT/ccd....","Quite condensed and very small and compact",""
"682","2003-03-03 00:00:00","P. Clay Sherrod","ASO - Conway","67P Churyumov-Gerasimenko","2003/03/03","15.2 (*)!","24""","3/9","none","0.41m SCT/ccd....","Very unusual irregular coma; large, with starlike central condensation (*m2=17.1ccd); the coma is spread over such a large area that m1 is difficult; perimeter of coma appears very uneven and irregular",""
"684","2003-03-03 00:00:00","P. Clay Sherrod","ASO - Conway","81P Wild 2","2003/03/03","15.5","17""","5/9","none","0.41m SCT/ccd....","Fairly large and evenly-bright coma with moderate central conds.",""
"687","2003-03-03 00:00:00","P. Clay Sherrod","ASO - Conway","53P Van Biesbroeck","2003/03/03","15.7","17""","4/9","none","0.41m SCT/ccd....","Round and fairly concentrated with uniform brightness",""
"690","2003-03-03 00:00:00","P. Clay Sherrod","ASO - Conway","C/2000 SV74 (LINEAR)","2003/03/03","15.8","16""","5/9","possible 260","0.41m SCT/ccd....","Unchanged, with slight indication of possible thin tail at PA 260 deg; some condensation toward center of coma",""
"692","2003-03-04 00:00:00","P. Clay Sherrod","ASO - Petit Jean Mountain","C/2002 X1 (LINEAR)","2003/03/04","16.4","10""","7/9","none","0.41m SCT/ccd....","Comet appears as a very small diffuse object and is quite difficult due to its small size; some condensation noted and comet is quite off from Observable Comets calculated",""
"693","2003-03-04 00:00:00","P. Clay Sherrod","ASO - Petit Jean Mountain","81P Wild 2","2003/03/04","15.3","20""","4/9","none","0.41m SCT/ccd....","Comet presents a very open and largely diffuse coma with little central condensation; hazy skies",""
"694","2003-03-04 00:00:00","P. Clay Sherrod","ASO - Petit Jean Mountain","155P Shoemaker 3","2003/03/04","15.3","18""","5/9","none","0.41m SCT/ccd....","Estimates made in high haze and poor conditions",""
"695","2003-03-04 00:00:00","P. Clay Sherrod","ASO - Petit Jean Mountain","C/1999 U4 - Catalina-Skiff","2003/03/04","17.8","11""","8/9","none","0.41m SCT/ccd....","Very little nebulosity; nearly stellar; Estimates made in high haze and poor conditions",""
"697","2003-03-04 00:00:00","P. Clay Sherrod","ASO - Petit Jean Mountain","67P Churyumov-Gerasimenko","2003/03/04","15.6 (m2)","n/a","3/9","n/a","0.41m SCT/ccd....","Estimates made in high haze and poor conditions; comet is very difficult due to large and diffuse coma; m2 possible only",""
"698","2003-03-04 00:00:00","P. Clay Sherrod","ASO - Petit Jean Mountain","C/2000 SV74 (LINEAR)","2003/03/04","15.7","18""","7/9","none","0.41m SCT/ccd....","Estimates made in high haze and poor conditions; coma is compact and uniform with nearly stellar center",""
"702","2003-03-06 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/1999 U4 - Catalina-Skiff","2003/03/06","17.8","9""","7/9","none","0.41m SCT/ccd....","Very faint, starlike; confirmed astrometrically; no nebulosity",""
"703","2003-03-06 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2000 SV74 (LINEAR)","2003/03/06","15.9 (*)","16""","7/0","ext. 270","0.41m SCT/ccd....","Coma is elongated in PA 270 degree slightly; very nice and distinct nucleus (*m2=17.0ccd)",""
"705","2003-03-06 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2002 U2 (LINEAR)","2003/03/06","17.9","9""","8/9","none","0.41m SCT/ccd....","Appears quite stellar with no nebulosity; confirmed astrometrically",""
"707","2003-03-06 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2002 O7 (LINEAR)","2003/03/06","16.2","13""","7/9","none","0.41m SCT/ccd....","Quite difficult, in appulse with faint star; highly condensed",""
"708","2003-03-07 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2002 O7 (LINEAR)","2003/03/07","16.4","18""","4/9","none","0.41m SCT/ccd....","Comet is fairly large to be so faint, with ""halo"" coma extending over very vague central condensation",""
"709","2003-03-07 00:00:00","P. Clay Sherrod","ASO - Conway H43","46P Wirtanen","2003/03/07","18.6","12""","3/9","none","0.41m SCT/ccd....","Very open and diffuse with no sign of central brightening; extremely difficult due to extended nature",""
"710","2003-03-07 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2002 U2 (LINEAR)","2003/03/07","17.6","10""","7/9","none","0.41m SCT/ccd....","Ver faint, difficult, nearly stellar",""
"712","2003-03-07 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2000 SV74 (LINEAR)","2003/03/07","15.4","20""","4/9","none","0.41m SCT/ccd....","Round and quite an easy target; fairly large and open",""
"715","2003-03-07 00:00:00","P. Clay Sherrod","ASO - Conway H43","155P Shoemaker 3","2003/03/07","15.6","18""","7/9","none","0.41m SCT/ccd....","Comet seems to be fading fairly rapidly and is not an easy target due to low surface brightness; however there is a clear stellar-like nucleus of about 17.2 mag.",""
"716","2003-03-07 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2002 X1 (LINEAR)","2003/03/07","16.8","15""","7/9","elong. E-W","0.41m SCT/ccd....","Coma is concentrated but extended and appears elongated in a true E-W orientation",""
"717","2003-03-07 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2002 T7 (LINEAR)","2003/03/07","15.5","16""","6/9","none","0.41m SCT/ccd....","The brightness of this comet was a pleasant surprise from previous observations, with a very conspicuous and compactly bright coma, equally bright across with no evidence of m2 seen",""
"719","2003-03-07 00:00:00","P. Clay Sherrod","ASO - Conway H43","81P Wild 2","2003/03/07","15.7","18""","3/9","none","0.41m SCT/ccd....","Fairly large and conspicuous; pretty much evenly diffuse across coma with little or no central condensation",""
"720","2003-03-08 00:00:00","P. Clay Sherrod","ASO - Conway H43","67P Churyumov-Gerasimenko","2003/03/08","15.7 (*)","0.28","3/9","segmented co","0.41m SCT/ccd....","Remarkable coma on this comet; the head appears to be segmented or having a darkened lane running SE to NW; the perimeter of the comet is highly irregular and with considerable ""texture;"" *m2=16.9ccd, very stellar",""
"722","2003-03-08 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2000 SV74 (LINEAR)","2003/03/08","15.8","18"" (fog)","4/9","none","0.41m SCT/ccd....","Very large and open with little central conds.; very poor conditions likely affecting visibility of total extent of coma",""
"724","2003-03-08 00:00:00","P. Clay Sherrod","ASO - Conway H43","155P Shoemaker 3","2003/03/08","15.9","16""","7/9","","0.41m SCT/ccd....","Comet appears virtually unchanged with strong central condensation",""
"725","2003-03-09 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2002 X1 (LINEAR)","2003/03/09","15.9","14""","4/9","none","0.41m SCT/ccd....","Quite open and diffuse; a difficult object due to low surface brightness",""
"727","2003-03-09 00:00:00","P. Clay Sherrod","ASO - Conway H43","81P Wild 2","2003/03/09","15.9","19""","4/9","none","0.41m SCT/ccd....","Poor conditions with high clouds and moon; comet is large, diffuse and round; little central condensation",""
"728","2003-03-09 00:00:00","P. Clay Sherrod","ASO - Conway H43","155P Shoemaker 3","2003/03/09","16.3","14""","6/9","none","0.41m SCT/ccd....","Quite small and vague; becoming a very difficult object",""
"729","2003-03-09 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2000 SV74 (LINEAR)","2003/03/09","16.0","16""","4/9","none","0.41m SCT/ccd....","Nebulous and featureless coma, elonged slightly E-W",""
"731","2003-03-09 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2002 U2 (LINEAR)","2003/03/09","17.4","12""","7/9","none","0.41m SCT/ccd....","Very small and nearly stellar, no nebulosity; confirmed astrometrically",""
"732","2003-03-09 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/1999 U4 - Catalina-Skiff","2003/03/09","17.8","17""","3/9","none","0.41m SCT/ccd....","Comet is very difficult because of low surface brightness and large circular area of coma; very little central brightening",""
"735","2003-03-10 00:00:00","P. Clay Sherrod","ASO - Conway H43","53P Van Biesbroeck","2003/03/10","16.6","13""","4/9","none","0.41m SCT/ccd....","Very faint, small diffuse circular patch with slight central conds.",""
"736","2003-03-10 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2002 O7 (LINEAR)","2003/03/10","16.0","14""","6/9","none","0.41m SCT/ccd....","Fairly well condensed with rather large coma to be this dim; coma circular and nucleus is centered within",""
"737","2003-03-10 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/1999 U4 - Catalina-Skiff","2003/03/10","17.7","13""","4/9","none","0.41m SCT/ccd....","Very small and quite difficult with low surface brightness; definitely diffuse",""
"738","2003-03-10 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2002 U2 (LINEAR)","2003/03/10","17.7","12""","7/9","none","0.41m SCT/ccd....","Very difficult in moist skies and high wind; very stellar and confirmed via astrometric span",""
"739","2003-03-10 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2000 SV74 (LINEAR)","2003/03/10","15.9","20""","4/9","none","0.41m SCT/ccd....","Comet is very large and diffuse for its brightness; very little condensation and seemingly symmetrical across coma",""
"743","2003-03-10 00:00:00","P. Clay Sherrod","ASO - Conway H43","67P Churyumov-Gerasimenko","2003/03/10","16.1","28""","2/9","irreg.","0.41m SCT/ccd....","Comets seems to be expanding, large irregular coma, no tail; no sign of even a faint nucleus on this night; perimeter of coma is very uneven",""
"744","2003-03-10 00:00:00","P. Clay Sherrod","ASO - Conway H43","155P Shoemaker 3","2003/03/10","16.6","14""","3/9","none","0.41m SCT/ccd....","This comet is fading in both brightness and size rapidly; not an easy object, with very low surface brightness and little condensation; round",""
"745","2003-03-11 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2000 SV74 (LINEAR)","2003/03/11","15.8","12""","4/9","none","0.41m SCT/ccd....","Comet is obviously nebulous with no central condensation; not a particularly easy target",""
"746","2003-03-11 00:00:00","P. Clay Sherrod","ASO - Conway H43","155P Shoemaker 3","2003/03/11","16.6","19""","2/9","none","0.41m SCT/ccd....","Very large and open; no central condensation, making this a very tough target; fair conditions",""
"747","2003-03-11 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2002 U2 (LINEAR)","2003/03/11","17.0","<12""","8/9","none","0.41m SCT/ccd....","Stellar in appearance, no nebulosity but skies are now a bit hazy; confirmed astrometrically",""
"749","2003-03-11 00:00:00","P. Clay Sherrod","ASO - Conway H43","53P Van Biesbroeck","2003/03/11","16.5","17""","4/9","none","0.41m SCT/ccd....","Very easy target despite its low magnitude; come is round and clearly diffuse in star-poor field",""
"754","2003-03-12 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2001 G1 (LONEOS)","2003/03/12","17.0","11""","8/9","none","0.41m SCT/ccd....","Appears stellar, no nebulosity; confirmed astrometrically",""
"756","2003-03-22 00:00:00","P. Clay Sherrod","ASO-Petit Jean","C/2002 T7 (LINEAR)","2003/03/22","15.2","17""","7/9","none","...0.41m SCT/ccd.......P. Clay Sherrod, (ASO - Petit Jean Mountain,  H43","Comet has not been seen in two weeks in lieu of clouds; remarkably brighter tonight, compact and very concentrated",""
"757","2003-03-22 00:00:00","P. Clay Sherrod","ASO-Petit Jean","155P Shoemaker 3","2003/03/22","16.9","12""","4/9","none","...0.41m SCT/ccd.......P. Clay Sherrod, (ASO - Petit Jean Mountain,  H43","Very diffuse and faint; near threshold and very small",""
"758","2003-03-22 00:00:00","P. Clay Sherrod","ASO-Petit Jean","30P Reinmuth 1","2003/03/22","14.4","28""","7/9","none","...0.41m SCT/ccd.......P. Clay Sherrod, (ASO - Petit Jean Mountain,  H41)","Very unusual comet, with large halo-type coma and very distinct stellar nucleus of about mag. 17.2; coma is evenly distributed in brightness and perfectly circular",""
"759","2003-03-24 00:00:00","P. Clay Sherrod","ASO - Conway H43","155P Shoemaker 3","2003/03/24","16.9","14""","3/9","none","0.41m SCT/ccd....","Comet has faded significantly during past two weeks; very vague and open; quite difficult with very little central condensation",""
"760","2003-03-24 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2002 X1 (LINEAR)","2003/03/24","16.7","12""","7/9","none","0.41m SCT/ccd....","Very small and starlike; confirmed astrometrically; a very difficult object due to low brightness and size, with perhaps some bit of nebulosity",""
"765","2003-03-24 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2000 SV74 (LINEAR)","2003/03/24","15.4","20""","3/9","none","0.41m SCT/ccd....","Circular coma like halo with embedded central nucleus, nearly stellar",""
"768","2003-03-25 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2001 RX14","2003/03/25","10.7 (*)","0.25 haze","7/9","fanned","0.41m SCT/ccd....","Large and broad tail obscured by high haze; poor conditions; *m2 = 14.5ccd",""
"769","2003-03-25 00:00:00","P. Clay Sherrod","ASO - Conway H43","30P Reinmuth 1","2003/03/25","14.5","18""","7/9","none","0.41m SCT/ccd....","Very nice central condensation, about 16th mag., with halo-like and very thin coma surrounding",""
"770","2003-03-25 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2000 SV74 (LINEAR)","2003/03/25","15.8","22""","3/9","none","0.41m SCT/ccd....","Very large and open, little central brightening, coma seems fairly uniform; high haze and incoming clouds",""
"771","2003-03-25 00:00:00","P. Clay Sherrod","ASO - Conway H43","155P Shoemaker 3","2003/03/25","17.4","14""","4/9","none","0.41m SCT/ccd....","Comet is becoming very faint and difficult; seems to be rapidly fading in past weeks; nearly stellar but appears somewhat diffuse on images",""
"772","2003-03-27 00:00:00","P. Clay Sherrod","ASO - Conway H43","155P Shoemaker 3","2003/03/27","17.2","10""","3/9","n/a","0.41m SCT/ccd....","Comet has become very difficult, small; diffuse and definitely not stellar in appearance",""
"774","2003-03-27 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2000 SV74 (LINEAR)","2003/03/27","15.7","22""","4/9","210 ?","0.41m SCT/ccd....","Possible very faint tail imaged in PA 210 deg; very easy target with uniformly bright coma",""
"778","2003-03-27 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2001 G1 (LONEOS)","2003/03/27","17.9","<12""","3/9","none","0.41m SCT/ccd....","Very small and vague/diffuse object; confirmed astrometrically; no notable structure but not particularly stellar",""
"779","2003-03-27 00:00:00","P. Clay Sherrod","ASO - Conway H43","53P Van Biesbroeck","2003/03/27","15.6","18""","6/9","272","0.41m SCT/ccd....","Showing a very short and broad tail in PA 272; comet is small with distinct central condensation",""
"780","2003-03-27 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2003 F1 (LINEAR)","2003/03/27","17.5","14""","6/9","none","0.41m SCT/ccd....","Comet appears very stellar with little or no nebulosity",""
"781","2003-03-27 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2002 O7 (LINEAR)","2003/03/27","15.1","19"" irreg.","4/9","270 fan","0.41m SCT/ccd....","Comets shows a very stubby fanned area due west from coma (PA 270 deg.); some central brightening",""
"783","2003-03-31 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2002 X1 (LINEAR)","2003/03/31","17.2","8""","8/9","none","0.41m SCT/ccd....","Stellar with possible sligyht E-W elongation; confirmed astrometrically; very difficult",""
"785","2003-03-31 00:00:00","P. Clay Sherrod","ASO - Conway H43","53P Van Biesbroeck","2003/03/31","16.0","18""","4/9","none","0.41m SCT/ccd....","Quite round with concentrated brightness; fairly easy target, clearly diffuse",""
"788","2003-04-01 00:00:00","P. Clay Sherrod","ASO - Conway H43","C/2003 F1 (LINEAR)","2003/04/01","17.2","12""","5/9","none","0.41m SCT/ccd....","Very distinct stellar object with little or no nebulosity; position is far W of computed Harvard list; confimed via 5 astrometric measurements",""
"790","2003-04-11 00:00:00","P. Clay Sherrod","ASO - Petit Jean","46P Wirtanen","2003/04/11","18.6","14""","2/9","none","0.41m SCT/ccd....","Very vague open, with no strong condensation; very difficult in spite of near-perfect skies.",""
"791","2003-04-11 00:00:00","P. Clay Sherrod","ASO - Petit Jean","C/2000 SV74 (LINEAR)","2003/04/11","15.1 (*)","18""","6/9","none","0.41m SCT/ccd....","Very tight, with nucleus (*m2=16.5ccd) embedded centrally in ""halo"" coma",""
"793","2003-04-11 00:00:00","P. Clay Sherrod","ASO - Petit Jean","30P Reinmuth 1","2003/04/11","15.6 (*)","17""","6/9","none","0.41m SCT/ccd....","This comet has faded dramatically and lacks the size of previous weeks; *m2=16.7ccd",""
"794","2003-04-11 00:00:00","P. Clay Sherrod","ASO - Petit Jean","C/1999 U4 - Catalina-Skiff","2003/04/11","16.7","13""","6/9","none","0.41m SCT/ccd....","Very small and nearly stellar; not an easy target in spite of good skies",""
"795","2003-04-11 00:00:00","P. Clay Sherrod","ASO - Petit Jean","C/2003 F1 (LINEAR)","2003/04/11","17.4","12""","7/9","none","0.41m SCT/ccd....","Faint with little nebulosity; nearly stellar",""
"799","2003-04-13 00:00:00","P. Clay Sherrod","ASO-Petit Jean","C/2000 SV74 (LINEAR)","2003/04/13","15.1","16""","7/9","none","...0.41m SCT/ccd.......P. Clay Sherrod, (ASO - Petit Jean Mountain,  H41)","Very easy target in moonlight (strong gibbous); very tight and concentrated with little morphological characteristics",""
"800","2003-04-13 00:00:00","P. Clay Sherrod","ASO-Petit Jean","C/2003 F1 (LINEAR)","2003/04/13","17.4","12""","6/9","none","...0.41m SCT/ccd.......P. Clay Sherrod, (ASO - Petit Jean Mountain,  H41)","Very faint and small, but clearly nebulous against the star field; uniform and no clear nuclear center detected.",""
"801","2003-04-13 00:00:00","P. Clay Sherrod","ASO-Petit Jean","C/2003 G1 (LINEAR)","2003/04/13","16.7","14""","3/9","possible 221","...0.41m SCT/ccd.......P. Clay Sherrod, (ASO - Petit Jean Mountain,  H41)","Very difficult to discern actual brightness of this new comet, since it is in appulse with 16th mag. star; a very strong indication of a faint tail in PA 221; very vague and diffuse",""
